ProjectUUID,PersonUUID,Role
45e498cd-e0ff-4f9d-81be-de8c646469ef,b752c464-c7fb-4a52-a0c3-3b2d3db5d62f,Principal Investigator
45e498cd-e0ff-4f9d-81be-de8c646469ef,10e4fc8e-556f-4104-b744-409caedc2276,Co-Investigator
10bcb6a5-6e2f-441b-9180-65cce065a126,f06ed23d-b6d0-4af9-bb74-ecbcd6ca0c47,Co-Investigator
42b30a10-30b5-4a6f-ba07-de3564094906,1052b289-f510-4c5a-9662-2db48c12ebc2,Principal Investigator
e41b44cc-46ce-4de8-962f-abad41d761d3,d30b96a8-4f1e-44fa-9bf5-0209bedf0268,Principal Investigator
e41b44cc-46ce-4de8-962f-abad41d761d3,ea6d10cf-6bb5-4414-8966-f1ed2591f794,Co-Investigator
afff83df-27b7-4e93-86a3-38574ae3b9c4,4d7fda5a-3cf4-4d39-9daf-1ae192b0e0e7,Principal Investigator
afff83df-27b7-4e93-86a3-38574ae3b9c4,37d49222-56d7-4c65-8d52-3638544511cf,Principal Investigator
cf05e3ab-dd1b-4b2e-8649-490e0824d02e,a01fb25e-ca57-4ab4-b781-7303196f16ce,Principal Investigator
cf05e3ab-dd1b-4b2e-8649-490e0824d02e,37d49222-56d7-4c65-8d52-3638544511cf,Principal Investigator
34b17ab6-61ea-4bfd-b2a7-5bef2b26a858,5ad9c220-e37f-443a-8a31-fc4abf365db5,Principal Investigator
f14d5eba-b806-451e-abc2-73ad6e7f0496,d37cba38-dff2-4c27-a515-226cfadfd849,Principal Investigator
0e18ed4e-6696-4060-b108-3f00b8431b89,10003d22-a201-4b64-88e3-b423bc76fcc2,Principal Investigator
0e18ed4e-6696-4060-b108-3f00b8431b89,5e271e6a-7a91-47bd-9f12-3b73f4e0d7ac,Co-Investigator
2f5e8d53-a5c4-41a9-95b3-8478cb7376ea,10003d22-a201-4b64-88e3-b423bc76fcc2,Principal Investigator
4cac7654-2655-4c1b-b201-1ef33d01b353,a39b94ff-e1b6-4b96-8404-486167a9123d,Principal Investigator
4cac7654-2655-4c1b-b201-1ef33d01b353,47a94200-3abe-4354-b5e3-c8ef6f1ba1f2,Co-Investigator
4cac7654-2655-4c1b-b201-1ef33d01b353,f2136570-f73c-446f-9fb0-6d9e461e2124,Co-Investigator
860bf1d7-99d6-4a74-87e2-7f1b7ef053b5,e0edf6ca-5a14-41d8-81cc-77fd67f03ee5,Principal Investigator
860bf1d7-99d6-4a74-87e2-7f1b7ef053b5,ea6d10cf-6bb5-4414-8966-f1ed2591f794,Principal Investigator
54d5aeb6-716e-46dd-b34a-cb8057be82a4,1052b289-f510-4c5a-9662-2db48c12ebc2,Co-Investigator
54d5aeb6-716e-46dd-b34a-cb8057be82a4,92f6c3f3-0ad2-40fc-b278-69170f87567d,Principal Investigator
33b3fc7e-5aad-48c0-877c-ada1be556f22,472021c7-73cc-44ba-a4ef-70cd2bed8601,Co-Investigator
