paperUUID,expertUUID,role,name,lastname
b0634774-5bb1-4384-b95e-5a4c85038c97,1313519f-2074-41d6-8b79-589648e37211,Author,Carsten,Schürmann
b0634774-5bb1-4384-b95e-5a4c85038c97,5c50bbc9-ed3d-417f-ba4d-e484eaf536b3,Author,Alessandro,Bruni
fed9bf83-0620-49b7-ae32-4fb45beabf59,1313519f-2074-41d6-8b79-589648e37211,Author,Carsten,Schürmann
fed9bf83-0620-49b7-ae32-4fb45beabf59,,Author,Lisa Hartmann,Jensen
10023cd3-34aa-4716-b2ef-2883f96302ab,1313519f-2074-41d6-8b79-589648e37211,Author,Carsten,Schürmann
ca425ca9-accc-4b89-a2b1-88e94baa9d9c,1313519f-2074-41d6-8b79-589648e37211,Author,Carsten,Schürmann
d4762440-48a3-4110-9c47-d4576b089e31,1313519f-2074-41d6-8b79-589648e37211,Author,Carsten ,Schürmann
14fb5d55-473f-4e92-825c-9670dd94368b,,Author,Sander Andreas,Schwartz
52940207-2a15-49ff-ba28-2f33d3710b00,,Author,Sander Andreas,Schwartz
91ec5026-f230-4366-b5bd-15f0d6339f71,,Author,Sander Andreas,Schwartz
91ec5026-f230-4366-b5bd-15f0d6339f71,,Author,Lisbeth,Klastrup
4f8b297f-36ff-4f32-8c1b-438307244843,,Author,Sander Andreas,Schwartz
431f7fe2-20bd-4356-8528-c3557fd6348e,,Author,Sander Andreas,Schwartz
b0fa1102-8a96-45f4-8e4f-18d3ae4919fa,,Author,Sander Andreas,Schwartz
bf19e359-faca-4343-ba20-679a8848afe0,,Author,Sander Andreas,Schwartz
bf19e359-faca-4343-ba20-679a8848afe0,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Author,Luca,Rossi
5c301f5d-ca46-49f2-b343-2f039cee6cb4,,Author,Sander Andreas,Schwartz
8b6c7262-b0d6-4d28-b8a9-b63271220941,,Author,Sander Andreas,Schwartz
573d8530-edf0-4ff1-b9ea-2f8aa8578421,,Author,Sander Andreas,Schwartz
f8ce9682-53c8-46c3-84df-27092ec427bc,,Author,Jan,Schwiderowski
f8ce9682-53c8-46c3-84df-27092ec427bc,09ec1bda-4550-4a83-8480-fe742d77e882,Author,Asger Balle,Pedersen
f8ce9682-53c8-46c3-84df-27092ec427bc,,Author,Roman,Beck
13334174-4575-4bce-a054-d40d8109a227,,Author,Jan,Schwiderowski
13334174-4575-4bce-a054-d40d8109a227,,Author,Roman,Beck
b69f3082-70be-4f9e-b2a8-83e650d09239,,Author,Jan,Schwiderowski
b69f3082-70be-4f9e-b2a8-83e650d09239,09ec1bda-4550-4a83-8480-fe742d77e882,Author,Asger Balle,Pedersen
b69f3082-70be-4f9e-b2a8-83e650d09239,,Author,Jonas Kasper,Jensen
b69f3082-70be-4f9e-b2a8-83e650d09239,,Author,Roman,Beck
811ab78c-c541-4081-b6cf-ab236433376e,,Author,Roman,Beck
86de0940-da0a-11de-b0f9-000ea68e967b,,Author,Lars,Birkedal
615f215d-ad53-4cb3-984d-c465036482a8,,Author,Lars,Birkedal
cc04ea2c-bbb4-41b7-986a-7dccbad6a9f9,,Author,Lars,Birkedal
cc04ea2c-bbb4-41b7-986a-7dccbad6a9f9,,Author,Kristian,Støvring
a8486c50-e09e-4e56-9f3d-c202f289fae1,,Author,Lars,Birkedal
011d1969-6446-4b48-8f77-cfbb406d00c2,,Author,Lars,Birkedal
740b0952-cbdb-4a0a-b4fa-8d87281ef400,8aaf5ea6-92c2-4780-bba3-cdc171315e0b,Author,Katinka Amalie,Schyberg
134effbb-7813-4ab5-8063-903c7b885a67,,Author,Marco,Scirea
134effbb-7813-4ab5-8063-903c7b885a67,,Author,Julian,Togelius
134effbb-7813-4ab5-8063-903c7b885a67,,Author,Mark,Nelson
fd8613f2-b2a6-4111-974a-c7253b1a7c26,,Author,Marco,Scirea
673f2164-33b8-49c0-9d99-3ec530108197,,Author,Marco,Scirea
