Course Name,Course Summary,Abstract,Description,ECTS,Semester,Language,Exam,Teacher,Programme,Single Subject,Guest Students
"Advanced Programming, MSc CS","This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming language.","This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming language.","The student who passes this course will know relevant advanced programming techniques for designing, testing and executing challenging realistic programs in Scala, in a correct and efficient way. Such techniques, although learned in the Scala programming language, are relevant for many other mainstream programming languages used in industry. Introduction to Scala 3Property-based testing Monads and streams Call-by-name and lazy programming Immutable data-structures Purely functional parallel programming Examples of purely functional data structures and algorithms Functional probabilistic programming",7.5,Autumn 2023,English,"A: Written exam on premises, External (7-point scale)",Andrzej Wasowski,MSc in Computer Science,Yes,Yes
"Advanced Programming, MSc CS","This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming language.","This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming language.","The student who passes this course will know relevant advanced programming techniques for designing, testing and executing challenging realistic programs in Scala, in a correct and efficient way. Such techniques, although learned in the Scala programming language, are relevant for many other mainstream programming languages used in industry. Introduction to Scala 3Property-based testing Monads and streams Call-by-name and lazy programming Immutable data-structures Purely functional parallel programming Examples of purely functional data structures and algorithms Functional probabilistic programming",7.5,Autumn 2024,English,"A: Written exam on premises, External (7-point scale)",Andrzej Wasowski,MSc in Computer Science,Yes,Yes
"Advanced Programming, MSc CS","This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming language.","This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming language.","The student who passes this course will know relevant advanced programming techniques for designing, testing and executing challenging realistic programs in Scala, in a correct and efficient way. Such techniques, although learned in the Scala programming language, are relevant for many other mainstream programming languages used in industry. Introduction to Scala 3Property-based testing Monads and streams Call-by-name and lazy programming Immutable data-structures Purely functional parallel programming Examples of purely functional data structures and algorithms Functional probabilistic programming Use of generative AI during the exam: No use of generative artificial intelligence is allowed at the exam under any circumstances.",7.5,Autumn 2025,English,"A: Written exam on premises, External (7-point scale)",Andrzej Wasowski,MSc in Computer Science,Yes,Yes
"Advanced Programming, MSc CS","This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming language.","This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming language.","The student who passes this course will know relevant advanced programming techniques for designing, testing and executing challenging realistic programs in Scala, in a correct and efficient way. Such techniques, although learned in the Scala programming language, are relevant for many other mainstream programming languages used in industry. Introduction to Scala 3Property-based testing Monads and streams Call-by-name and lazy programming Immutable data-structures Purely functional parallel programming Examples of purely functional data structures and algorithms Functional probabilistic programming Use of generative AI during the exam: No use of generative artificial intelligence is allowed at the exam under any circumstances.",7.5,Autumn 2026,English,"A: Written exam on premises, External (7-point scale)",Andrzej Wasowski,MSc in Computer Science,Yes,Yes
"Advanced Programming, MSc CS","This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming language.","This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming language.","The student who passes this course will know relevant advanced programming techniques for designing, testing and executing challenging realistic programs in Scala, in a correct and efficient way. Such techniques, although learned in the Scala programming language, are relevant for many other mainstream programming languages used in industry. Introduction to Scala 3Property-based testing Monads and streams Call-by-name and lazy programming Immutable data-structures Purely functional parallel programming Examples of purely functional data structures and algorithms Functional probabilistic programming Use of generative AI during the exam: No use of generative artificial intelligence is allowed at the exam under any circumstances.",7.5,Autumn 2027,English,,,MSc in Computer Science,Yes,Yes
"Advanced Programming, MSc CS (Autumn 2019)",,,,0,Autumn 2019,,,,K-CS:Master of Science in Computer Science,No,No
"Advanced Programming, MSc CS (Autumn 2020)",,,,0,Autumn 2020,,,,K-CS:Master of Science in Computer Science,No,No
"Advanced Programming, MSc CS (Autumn 2021)",,,,0,Autumn 2021,,,,K-CS:MSc in Computer Science,No,No
"Advanced Programming, MSc CS (Autumn 2022)",,,,0,Autumn 2022,,,,K-CS:MSc in Computer Science,No,No
"Advanced Programming, MSc CS (Autumn 2023)",,,,0,Autumn 2023,,,,K-CS:MSc in Computer Science,No,No
